sln,add1,no latitude found,no longitude found,no address found
66,Oachira,9.1303868,76.5146262,"Oachira, Alappuzha, Kerala, 690526, India"
67,Mynagappally,9.039542,76.5840215,"Mynagappally, Kollam, Kerala, 690523, India"
68,Kareepra,no latitude found,no longitude found,no address found
69,Elamadu,no latitude found,no longitude found,no address found
70,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
71,Kareepra,8.9474054,76.7212476,"Kareepra, Kollam, Kerala, 691505, India"
72,Eravipuram,8.8578962,76.6175551,"Eravipuram, Kollam, Kerala, 691011, India"
73,Kulasekharapuram,no latitude found,no longitude found,no address found
74,sasthamkotta,9.0439541,76.6258478,"Sasthamkotta, Kollam, Kerala, India"
75,Sasthamcotta,9.0424865,76.62759,"Sasthamcotta Temple Road, Sasthamkotta, Kollam, Kerala, India"
76,Thrikkaruva,8.9426467,76.6081119,"Thrikkaruva, Kollam, Kerala, 691601, India"
77,Karunagapally,9.0551448,76.5354179,"Karunagapally, Kollam, Kerala, 690518, India"
78,Chadayamangalam,8.8729651,76.869339,"Chadayamangalam, Kollam, Kerala, 691001, India"
79,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
80,Kareepra,8.9474054,76.7212476,"Kareepra, Kollam, Kerala, 691505, India"
81,Pattazhy N,9.0806988,76.7971993,"Pattazhy, Kollam, Kerala, India"
82,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
83,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
84,Thenmala,no latitude found,no longitude found,no address found
85,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
86,Thrikkadavoor,no latitude found,no longitude found,no address found
87,Edamulackal,8.9038956,76.8697199,"Edamulackal, Kollam, Kerala, 691533, India"
88,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
89,chavara,no latitude found,no longitude found,no address found
90,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
91,Thazhava,no latitude found,no longitude found,no address found
92,Pathanapuram,no latitude found,no longitude found,no address found
93,Thenmala,no latitude found,no longitude found,no address found
94,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
95,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
96,Thalavoor,9.0356649,76.8305322,"Thalavoor, Kollam, Kerala, 691508, India"
97,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
98,vilakkudi,no latitude found,no longitude found,no address found
99,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
100,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
101,Thenmala,no latitude found,no longitude found,no address found
102,vettikkavala,8.9989249,76.8264496,"Vettikkavala, Kollam, Kerala, 691500, India"
103,Aryankavu,8.9772146,77.150242,"Aryankavu, Kollam, Kerala, India"
104,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
105,Thenmala,no latitude found,no longitude found,no address found
106,west kallada,9.0116047,76.6068273,"West Kallada, Kollam, Kerala, 691601, India"
107,Karunagappally,no latitude found,no longitude found,no address found
108,Mynagappally,9.039542,76.5840215,"Mynagappally, Kollam, Kerala, 690523, India"
109,Adichanalloor,8.8789221,76.7173689,"Adichanalloor, Kollam, Kerala, 691573, India"
110,Sooranad South,9.0880647,76.6140213,"Sooranad South, Kollam, Kerala, India"
111,Kottarakkara,no latitude found,no longitude found,no address found
112,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
113,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
114,Thenmala,no latitude found,no longitude found,no address found
115,Thodiyoor,9.0750768,76.5754692,"Thodiyoor, Kollam, Kerala, 690523, India"
116,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
117,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
118,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
119,Vilakudi,no latitude found,no longitude found,no address found
120,Karavaloor,8.9807724,76.9250357,"Karavaloor, Kollam, Kerala, 691305, India"
121,Karavaloor,8.9807724,76.9250357,"Karavaloor, Kollam, Kerala, 691305, India"
122,Thenmala,8.9677154,77.0707545,"Thenmala, Kollam, Kerala, India"
123,"Mancodu
Pathanapuram",no latitude found,no longitude found,no address found
124,Karunagappally,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
125,Sooranad,9.1079753,76.6241196,"Sooranad North, Kollam, Kerala, 690530, India"
126,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
127,Panmana,9.0082147,76.5425181,"Panmana, Kollam, Kerala, 691583, India"
128,Ummannoor,8.9332638,76.8206089,"Ummannoor, Kollam, Kerala, 691512, India"
129,Karunagappally,no latitude found,no longitude found,no address found
130,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
131,Karunagappally,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
132,Alappad,no latitude found,no longitude found,no address found
133,Kulasekharapuram,9.0916129,76.5138226,"Kulasekharapuram, Kollam, Kerala, 690525, India"
134,Karunagappally ,9.0568029,76.5443996,"Karunagappally shasthamkotta road, Karunagapally, Kollam, Kerala, 690518, India"
135,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
136,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
137,Pathanapuram,no latitude found,no longitude found,no address found
138,Piravanthur,no latitude found,no longitude found,no address found
139,kollam,8.8870537,76.5907058,"Kollam, Kerala, 691001, India"
140,vilakkudi,9.0300126,76.8648525,"Vilakkudi, Kollam, Kerala, 691508, India"
141,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
142,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
143,Alayamon,8.9004707,76.9550755,"Alayamon, Kollam, Kerala, India"
144,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
145,Thevalakkara,8.9976716,76.5782434,"Thevalakkara, Kollam, Kerala, 691585, India"
146,Thazhava,9.09645,76.5526524,"Thazhava, Kollam, Kerala, 690523, India"
147,chavara,no latitude found,no longitude found,no address found
148,Thrikadavoor,no latitude found,no longitude found,no address found
149,kalluvathukkal,8.8312511,76.7458561,"Kalluvathukkal, Kollam, Kerala, 691574, India"
150,veliyom,no latitude found,no longitude found,no address found
151,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
152,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
153,Oachira,9.1303868,76.5146262,"Oachira, Alappuzha, Kerala, 690526, India"
154,Mynagappally,9.039542,76.5840215,"Mynagappally, Kollam, Kerala, 690523, India"
155,Thodiyoor,9.0750768,76.5754692,"Thodiyoor, Kollam, Kerala, 690523, India"
156,Thevalakkara,8.9976716,76.5782434,"Thevalakkara, Kollam, Kerala, 691585, India"
157,Thevalakkara,8.9976716,76.5782434,"Thevalakkara, Kollam, Kerala, 691585, India"
158,Piravanthur,9.063013,76.902723,"Piravanthur, Kollam, Kerala, 691305, India"
159,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
160,Pathanapuram,9.0926952,76.8562962,"Pathanapuram, Kollam, Kerala, 689695, India"
161,Thodiyoor,9.0750768,76.5754692,"Thodiyoor, Kollam, Kerala, 690523, India"
162,Melila,9.0120159,76.8512567,"Melila, Kollam, Kerala, 691508, India"
163,Edamulackal,8.9038956,76.8697199,"Edamulackal, Kollam, Kerala, 691533, India"
164,Pathanapuram,no latitude found,no longitude found,no address found
165,Pattazhy,9.0806988,76.7971993,"Pattazhy, Kollam, Kerala, India"
166,Melila,9.0120159,76.8512567,"Melila, Kollam, Kerala, 691508, India"
167,Pathanapuram,no latitude found,no longitude found,no address found
